,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
23,alb,1997,insurance,0.2156,0.0586,0.9468,0.2578,0.0116,0.0625,0.2385,0.2937,0.112,0.0462,0.0251,0.02,0.0692,0.0633,0.0096,0.0321,0.0103,0.0061,0.4742,1.0004,0.3137,0.0879,0.2822,3.283,0.4394,0.0511,0.7841,insurance,0.0358,0.0282,0.5021,0.0076,0.0013,0.03,0.2147,0.2649,0.0412,0.0049,0.0127,0.0041,0.0692,0.0091,0.0046,0.0241,0.0067,0.0001,0.001,0.0087,0.0775,0.0354,0.0623,0.2916,0.009,0.0062,0.0322,0.63489,0.001059,0.001708,0.005757,0.001261
1801,alb,2001,distribution,20.9025,0.6852,3.6284,29.0066,0.3039,2.8807,10.5689,7.5748,4.0346,3.1873,1.1551,1.1345,0.8423,4.3169,0.6763,3.2351,0.777,0.0644,33.2193,619.252,17.9443,1.8177,0.2593,0.4497,15.0394,4.6176,12.0422,distribution,2.0479,0.1888,0.0834,1.5895,0.0398,1.251,9.1736,6.5931,1.3833,0.6892,0.4798,0.3358,0.8425,1.247,0.3271,2.794,0.5978,0.0055,0.1202,57.7889,9.6997,0.8618,0.047,0.0827,1.6854,0.9266,0.9836,0.606005,0.104002,0.144139,0.172689,0.125872
1803,alb,2001,communcation,1.4422,0.1187,0.7481,1.6874,0.0547,0.3054,0.8186,0.7707,0.5183,0.4582,0.1115,0.1487,0.0795,0.5647,0.0567,0.4426,0.0815,0.0307,2.8024,21.6475,4.2506,50.9644,0.4483,0.4039,4.337,0.7654,3.162,communcation,0.1413,0.0327,0.0172,0.0925,0.0072,0.1326,0.7105,0.6708,0.1777,0.0991,0.0463,0.044,0.0795,0.1631,0.0274,0.3823,0.0627,0.0026,0.0101,2.0202,2.2976,24.1638,0.0813,0.0743,0.486,0.1536,0.2583,0.662226,0.040749,0.061714,0.054986,0.049849
1805,alb,2001,insurance,0.5881,0.1019,0.4346,0.6516,0.0306,0.168,0.4371,0.5191,0.2898,0.1382,0.045,0.0657,0.0327,0.1723,0.0235,0.1065,0.0363,0.0171,1.1571,3.159,1.454,0.2271,0.6085,8.2509,1.2985,0.1372,1.7466,insurance,0.0576,0.0281,0.01,0.0357,0.004,0.0729,0.3794,0.4518,0.0994,0.0299,0.0187,0.0194,0.0327,0.0498,0.0114,0.092,0.0279,0.0015,0.0042,0.2948,0.7859,0.1077,0.1104,1.5175,0.1455,0.0275,0.1427,0.619255,0.002823,0.003999,0.007728,0.003503
1807,alb,2001,oconsumer,1.4534,0.3728,0.4885,1.5773,0.0519,0.7209,1.0601,1.6202,0.7021,0.5383,0.1691,0.1847,0.06,0.9843,0.0664,0.6049,0.0793,0.0192,4.7085,9.8332,4.0374,2.0623,0.373,1.1632,4.4573,13.0427,2.7948,oconsumer,0.1424,0.1027,0.0112,0.0864,0.0068,0.3131,0.9202,1.4103,0.2407,0.1164,0.0702,0.0547,0.06,0.2843,0.0321,0.5224,0.061,0.0016,0.017,0.9176,2.1824,0.9778,0.0677,0.2139,0.4995,2.6173,0.2283,0.371201,0.007591,0.006444,0.020611,0.008565
3807,alb,2004,primaryagr,517.818,0.1213,0.4691,195.391,4.7032,2.8133,7.3839,13.5959,0.4003,1.5553,0.4601,0.1085,0.2528,0.3658,0.0508,0.1847,0.0414,0.0096,3.8614,25.1334,5.1336,0.4374,0.0868,0.1709,44.0093,1.6197,2.9363,primaryagr,33.197,0.0469,0.0371,12.5555,1.7993,1.4134,6.3116,12.0746,0.1145,0.3551,0.1922,0.0325,0.2529,0.0804,0.0245,0.1374,0.0232,0.0008,0.0208,2.3547,3.1105,0.2284,0.0304,0.0559,7.1104,0.4608,0.0655,0.560675,0.028158,0.035991,0.069815,0.032997
3809,alb,2004,energy,12.8485,2.318,216.592,17.6536,0.7563,4.3081,6.5701,5.4791,1.7341,3.3657,3.586,1.0804,9.7924,1.4639,0.1743,0.4764,0.2511,0.5656,26.0604,24.8833,51.8349,1.2863,0.1151,0.1538,9.3751,0.8461,2.9207,energy,0.8237,0.8958,17.1294,1.1344,0.2893,2.1644,5.6159,4.866,0.4959,0.7684,1.4978,0.3235,9.797,0.3217,0.0842,0.3544,0.1408,0.0495,0.1401,2.3313,31.4075,0.6715,0.0403,0.0503,1.5147,0.2407,0.0652,0.596103,0.013743,0.018676,0.070775,0.017356
3826,alb,2004,distribution,37.3887,1.3936,10.5835,54.1005,0.8166,6.0733,17.8593,16.2304,6.6674,6.2825,3.0633,2.2332,7.843,7.9789,1.299,4.027,0.804,0.1179,86.8176,1134.0,36.1241,3.5873,0.6056,0.9253,28.885,9.417,17.0574,distribution,2.397,0.5386,0.837,3.4764,0.3124,3.0512,15.2657,14.4144,1.9066,1.4343,1.2795,0.6687,7.8466,1.7532,0.6274,2.9961,0.4509,0.0103,0.4668,106.243,21.8881,1.8728,0.212,0.3029,4.6668,2.6792,0.3806,0.601543,0.0987,0.13535,0.168383,0.116353
3827,alb,2004,transport,3.6969,0.4973,5.0514,5.1134,0.1306,1.0885,2.4871,2.7497,1.5578,1.1681,0.5761,0.7736,2.2842,2.1631,0.1898,0.7945,0.1281,0.0641,22.5647,59.1967,396.63,3.8494,0.2053,0.2936,6.6385,1.6192,6.1291,transport,0.237,0.1922,0.3995,0.3286,0.05,0.5468,2.1259,2.442,0.4455,0.2667,0.2406,0.2316,2.2853,0.4753,0.0917,0.5911,0.0718,0.0056,0.1213,5.546,240.324,2.0096,0.0719,0.0961,1.0726,0.4607,0.1368,0.447276,0.295012,0.300806,0.22187,0.285576
3828,alb,2004,communcation,2.5643,0.2556,1.9715,3.149,0.1493,0.6556,1.408,1.6926,0.8879,0.923,0.2688,0.2981,0.508,1.0528,0.1119,0.5374,0.0866,0.0568,7.3818,40.3558,8.7998,104.547,1.1016,0.8818,8.5887,1.619,4.6495,communcation,0.1644,0.0988,0.1559,0.2023,0.0571,0.3294,1.2035,1.5032,0.2539,0.2107,0.1123,0.0893,0.5083,0.2313,0.0541,0.3998,0.0486,0.005,0.0397,3.7809,5.3319,54.5792,0.3857,0.2887,1.3876,0.4606,0.1037,0.67481,0.046223,0.071107,0.061225,0.056373
3829,alb,2004,finance,9.8156,1.4584,11.217,9.3531,0.8604,1.4348,2.9628,6.8533,1.8091,0.9239,0.5302,0.4092,0.9766,1.1641,0.1557,0.8368,0.2773,0.3463,19.4368,47.3954,10.0658,4.1332,21.2157,0.4109,27.1039,1.928,16.0281,finance,0.6293,0.5636,0.8871,0.601,0.3292,0.7208,2.5325,6.0865,0.5173,0.2109,0.2215,0.1225,0.977,0.2558,0.0752,0.6225,0.1555,0.0303,0.1045,4.4404,6.099,2.1578,7.4277,0.1345,4.3791,0.5485,0.3577,0.684497,0.006322,0.009865,0.035031,0.007853
3830,alb,2004,insurance,1.0154,0.225,1.1321,1.1834,0.082,0.3551,0.7406,1.126,0.4918,0.2652,0.0959,0.1279,0.1316,0.3114,0.0445,0.1287,0.038,0.0313,2.9578,5.8134,3.0063,0.4628,1.4581,18.2515,2.5475,0.2882,3.1109,insurance,0.0651,0.0869,0.0895,0.076,0.0314,0.1784,0.6331,1.0,0.1406,0.0605,0.0401,0.0383,0.1317,0.0684,0.0215,0.0957,0.0213,0.0027,0.0159,0.5446,1.8216,0.2416,0.5105,5.9747,0.4116,0.082,0.0694,0.606455,0.00581,0.008032,0.010592,0.006852
3831,alb,2004,obsict,6.8245,0.5413,2.1511,7.1018,0.2027,1.4969,2.3176,3.2444,1.3364,1.355,0.6302,0.4492,1.0028,1.38,0.2288,0.816,0.1042,0.0545,17.3285,62.2213,24.1129,1.7735,0.3262,0.4607,454.587,2.7577,4.3058,obsict,0.4375,0.2092,0.1701,0.4563,0.0775,0.752,1.981,2.8813,0.3822,0.3093,0.2632,0.1345,1.0032,0.3032,0.1105,0.6071,0.0584,0.0048,0.0932,5.8294,14.6104,0.9258,0.1142,0.1508,73.4458,0.7846,0.0961,0.571215,0.072273,0.094113,0.090318,0.084541
3832,alb,2004,oconsumer,2.5977,0.7691,1.2608,2.9437,0.1398,1.5371,1.8077,3.4982,1.1596,1.0714,0.4536,0.3667,0.421,1.7882,0.1292,0.6963,0.0825,0.0344,12.2539,17.8663,8.6209,4.1294,0.884,2.4713,8.59,27.5763,4.0597,oconsumer,0.1665,0.2972,0.0997,0.1892,0.0535,0.7722,1.5452,3.1068,0.3316,0.2446,0.1895,0.1098,0.4211,0.3929,0.0624,0.5181,0.0462,0.003,0.0659,1.6739,5.2235,2.1558,0.3095,0.809,1.3879,7.8457,0.0906,0.368883,0.01174,0.009872,0.023909,0.012815
